,index,NbCommentaire,NbIngredients,Note,Plat,Temps,accompagnement,amusegueule,boisson,confiserie,dessert,entree,ingredient,platprincipal,sauce,vegan,vegetarien
724,725,60,1,"4,3",Châtaignes au four,30,0,1,0,0,0,0,['chataigne'],0,0,1,1
725,726,31,8,"4,7",Poulet épicé au gingembre,35,0,0,0,0,0,0,"['echalote', 'huile-d-olive', 'blanc-de-poulet', 'curry', 'piment', 'miel', 'oignon', 'gingembre']",1,0,0,0
726,727,31,7,"4,8",Samossas à la courgette,70,1,0,0,0,0,0,"['huile-d-olive', 'lardons', 'courgette', 'brick', 'poivre', 'oignon', 'sel']",0,0,0,0
727,728,27,8,5,Tiramichel à la rhubarbe,75,0,0,0,0,1,0,"['mascarpone', 'citron', 'rhum', 'galette', 'oeuf', 'cannelle', 'rhubarbe', 'sucre']",0,0,0,1
728,729,86,9,"4,7",Verrines au saumon fumé à la crème de concombre,380,0,0,0,0,0,1,"['saumon-fume', 'citron', 'oeuf-de-lump', 'creme-fraiche-epaisse', 'ciboulette', 'fromage-blanc', 'concombre', 'poivre', 'sel']",0,0,0,0
729,730,266,9,"4,7",Potage velouté poireaux pommes de terre,40,0,0,0,0,0,1,"['pomme-de-terre', 'basilic', 'poireau', 'lait', 'creme-fraiche', 'eau', 'beurre', 'poivre', 'sel']",0,0,0,1
730,731,2,6,5,Vacherin glacé aux Myrtilles,15,0,0,0,0,1,0,"['myrtilles', 'meringue', 'sucre-vanille', 'creme', 'sucre']",0,0,0,1
731,732,90,7,"4,8",Beignets aux pommes très faciles,30,0,0,0,0,1,0,"['huile-de-friture', 'farine', 'lait', 'oeuf', 'pomme', 'levure-chimique', 'sel']",0,0,0,1
732,733,25,10,"3,9",Civet de chevreuil,330,0,0,0,0,0,0,"['muscade', 'oignon', 'vin-rouge', 'vinaigre', 'bouquet-garni', 'chevreuil', 'poivre', 'genievre', 'carotte', 'sel']",1,0,0,0
733,734,528,9,"4,7",Chili con carne express,35,0,0,0,0,0,0,"['chili', 'tomates-pelees', 'huile-d-olive', 'haricots-rouges', 'viande', 'ail', 'poivre', 'oignon', 'sel']",1,0,0,0
734,735,160,7,"4,7",Gratin de courge facile,60,1,0,0,0,0,0,"['muscade', 'courge', 'oeuf', 'gruyere', 'creme-fraiche-epaisse', 'poivre', 'sel']",0,0,0,1
735,736,37,5,"4,4",Tarte aux prunes facile,55,0,0,0,0,1,0,"['reine-claude', 'pate-brisee', 'oeuf', 'creme-fraiche', 'sucre']",0,0,0,1
736,737,1655,10,"4,8",Les Timbales de Jeanne (saumon à la mousse de courgettes au micro-ondes),18,0,0,0,0,0,1,"['saumon-fume', 'huile-d-olive', 'menthe', 'aneth', 'courgette', 'oeuf', 'creme-fraiche-epaisse', 'poivre', 'ail', 'sel']",0,0,0,0
737,738,33,9,"4,3",Blancs de poulet grillés au yaourt et concombres,35,0,0,0,0,0,0,"['tomate', 'huile-d-olive', 'blanc-de-poulet', 'yaourt-nature', 'citron-vert', 'concombre', 'poivre', 'oignon', 'sel']",1,0,0,0
738,739,136,7,"4,8",Papillotes de filet mignon au roquefort ,60,0,0,0,0,0,0,"['roquefort', 'creme-fraiche-epaisse', 'poivre', 'moutarde-a-l-estragon', 'filet-mignon', 'echalote', 'sel']",1,0,0,0
739,740,135,11,"4,7",Les nems de ma grand mère (recette originale),105,0,0,0,0,0,1,"['oignon-blanc', 'vermicelles-de-riz', 'germes-de-soja', 'nuoc-mam', 'oeuf', 'champignon', 'ail', 'galette-de-riz', 'poivre', 'porc', 'carotte']",0,0,0,0
740,741,205,10,"4,8",Tarte à la rhubarbe meringuée alsacienne,50,0,0,0,0,1,0,"['blanc-d-oeuf', 'levure', 'pate-brisee', 'oeuf', 'sucre-vanille', 'maizena', 'rhubarbe', 'creme', 'sucre']",0,0,0,1
741,742,57,7,"4,8",Florentins,25,0,0,0,1,0,0,"['amandes', 'fruit-confit', 'chocolat-noir', 'farine', 'beurre', 'abricot', 'sirop']",0,0,0,1
